WORDPAIR	SEMANTIC	VISUAL
jar#sack	2.20	1.00
guppy#nightgown	1.00	1.00
helicopter#jet	4.60	2.60
bluejay#owl	4.20	2.40
caterpillar#mouse	2.60	1.00
radio#screwdriver	1.20	1.00
banana#willow	1.40	1.00
pillow#raft	1.60	2.20
fridge#tray	2.60	1.00
cape#spider	1.20	1.00
bouquet#shoes	1.00	1.00
rhubarb#sofa	1.00	1.00
microscope#mink_(animal)	1.00	1.00
blender#spinach	1.40	1.00
book#shed	1.00	1.00
hoe#pen	1.00	1.00
clarinet#pants	1.00	1.00
desk#pliers	1.00	1.00
shotgun#toaster	1.00	1.00
accordion#ball	1.00	1.00
cockroach#dog	1.20	1.00
boots#mouse	1.00	1.00
gown#guitar	1.00	1.00
kite#marble	1.00	1.00
candle#drapes	1.80	1.00
cucumber#tuna	1.20	1.00
crab#pine	1.00	1.00
cougar#salmon	2.20	1.00
box#horse	1.00	1.00
butterfly#pot	1.00	1.00
raisin#raspberry	3.80	3.00
avocado#beetle	1.00	1.25
bazooka#scooter	1.00	1.00
mackerel#wasp	1.40	1.00
coat#owl	1.00	1.25
cathedral#tractor	1.00	1.00
catapult#missile	2.00	1.50
minnow#shawl	1.00	1.00
grape#grapefruit	3.80	3.25
doll#elephant	1.00	1.00
bookcase#budgie	1.00	1.00
brick#cannon	1.00	1.00
beetle#sardine	1.75	1.25
bow_(weapon)#helmet	2.00	1.25
banana#cauliflower	3.00	1.25
banjo#rope	1.00	1.25
cap_(hat)#lamp	1.00	1.50
gorilla#mug	1.00	1.00
ruler#turkey	1.00	1.00
crab#frog	2.50	1.25
dove#owl	3.75	2.75
comb#mittens	1.00	1.00
fridge#tripod	1.00	1.00
napkin#raven	1.00	1.00
corkscrew#fence	1.00	1.00
celery#onions	3.25	1.25
microscope#yacht	1.00	1.00
apple#pear	4.00	3.25
bear#skis	1.00	1.00
bazooka#tent	1.00	1.00
catapult#emu	1.00	1.00
pan#pot	4.75	4.00
camisole#pajamas	2.75	1.75
peacock#rattlesnake	1.50	1.25
lion#snail	1.25	1.00
baton#crayon	1.25	2.75
bottle#orange	1.25	1.00
grapefruit#tangerine	4.00	3.50
plate#rock	1.50	1.75
bra#screws	1.00	1.00
subway#wall	1.25	1.25
ox#pig	3.25	2.25
chandelier#lantern	4.50	3.25
coyote#fox	3.25	3.00
cap_(hat)#drill	1.00	1.00
cabbage#lettuce	4.50	4.50
eggplant#willow	2.00	1.00
mixer#typewriter	2.00	1.00
bread#oven	3.00	1.00
rocket#trailer	1.75	1.00
flamingo#saddle	1.00	1.00
fork#leopard	1.00	1.00
groundhog#hose_(tubing)	1.00	1.00
sardine#shield	1.00	1.00
dove#nightgown	1.00	1.00
skis#turkey	1.00	1.00
bull#tripod	1.00	1.25
bridge#turnip	1.00	1.00
brush#cheese	1.00	1.00
chicken#owl	4.25	3.00
garlic#tomato	3.25	2.00
pumpkin#strawberry	3.25	1.75
apple#plum	4.50	3.75
inn#peas	1.00	1.00
cap_(bottle)#submarine	1.00	1.00
buckle#rhubarb	1.00	1.00
mirror#projector	2.25	1.25
beets#sink	1.00	1.00
shovel#spade	4.75	4.75
alligator#crocodile	5.00	5.00
canoe#cottage	1.00	1.00
corkscrew#keyboard_(musical)	1.00	1.00
bison#cat	2.60	1.00
eel#flea	1.00	1.00
cap_(bottle)#rocket	1.00	1.00
earmuffs#pickle	1.00	1.00
cup#level	1.20	1.00
box#walnut	1.00	1.00
gorilla#scooter	1.00	1.00
bow_(weapon)#hatchet	3.40	1.40
razor#wrench	2.00	1.20
plug_(electric)#umbrella	1.00	1.00
dishwasher#stork	1.00	1.00
raven#screwdriver	1.00	1.00
apron#belt	3.20	1.80
saddle#spear	1.00	1.00
sack#tripod	1.20	1.00
nightgown#nylons	2.40	1.00
chicken#thimble	1.00	1.00
mirror#shelves	2.00	1.20
cherry#zucchini	2.80	1.00
beehive#shed	1.80	1.20
barrel#truck	1.00	1.00
building#hose_(tubing)	1.40	1.00
jacket#peg	1.20	1.00
book#submarine	1.00	1.00
snail#wasp	2.00	1.60
cheetah#hyena	3.20	2.60
guppy#muzzle	1.00	1.00
cantaloupe#pumpkin	3.60	3.40
bus#gun	1.00	1.00
alligator#subway	1.00	1.00
inn#telephone	1.40	1.00
parakeet#spear	1.00	1.00
cellar#marble	1.60	1.20
cherry#pineapple	3.60	1.20
asparagus#cucumber	3.80	2.20
envelope#train	1.00	1.00
eggplant#minnow	1.20	1.20
doll#tap	1.00	1.00
birch#tricycle	1.00	1.00
gown#jacket	3.40	2.40
octopus#plum	1.00	1.00
elephant#pony	3.20	2.40
bluejay#moth	1.80	1.80
harp#pine	1.40	1.20
grater#mat	1.20	1.20
budgie#duck	3.40	2.60
porcupine#shawl	1.00	1.00
bow_(weapon)#missile	3.40	1.40
bike#hook	1.00	1.00
building#car	1.60	1.20
airplane#truck	3.40	1.20
bedroom#whistle	1.00	1.00
barn#table	1.20	1.20
bookcase#vest	1.00	1.00
corkscrew#mandarin	1.00	1.00
platypus#vulture	2.00	1.00
ruler#skis	1.00	2.20
hornet#pheasant	1.20	1.40
bat_(animal)#dresser	1.00	1.00
tomahawk#tray	1.00	1.25
cat#rabbit	4.50	2.75
crocodile#door	1.00	1.00
cap_(hat)#cockroach	1.00	1.00
minnow#skirt	1.00	1.00
jar#lobster	1.00	1.00
alligator#squirrel	3.75	1.25
blouse#tie	4.25	1.75
blackbird#panther	3.25	1.25
bathtub#wand	1.00	1.00
hyena#swan	3.25	1.25
cedar#pine	4.75	4.50
barrel#car	1.00	1.25
eagle#frog	3.25	1.25
crane_(machine)#pistol	1.00	1.50
key#typewriter	2.00	1.75
dagger#stool_(furniture)	1.25	1.00
jeep#tangerine	1.00	1.00
mole_(animal)#wasp	2.50	1.25
machete#violin	1.25	1.25
apron#thermometer	1.25	1.00
corn#oak	2.25	1.75
bike#unicycle	4.75	3.25
cod#tape_(scotch)	1.00	1.00
parsley#rice	3.75	1.25
ox#subway	1.25	1.00
clarinet#keyboard_(musical)	4.25	1.25
mug#pot	4.00	2.75
chapel#magazine	1.00	1.00
banjo#barrel	1.00	1.20
book#bureau	1.40	1.00
baton#cupboard	1.00	1.00
hoe#sledgehammer	3.00	2.00
sled#tricycle	2.40	1.00
bench#bike	1.00	1.00
ashtray#raspberry	1.00	1.20
bus#cake	1.00	1.00
scarf#umbrella	2.00	1.20
crow#tuba	1.00	1.00
groundhog#platypus	3.00	1.60
budgie#raft	1.00	1.00
boat#mirror	1.00	1.00
hawk#salamander	2.20	1.00
comb#spider	1.00	1.00
bag#birch	1.20	1.00
tortoise#walrus	2.80	1.00
fence#turnip	1.00	1.00
donkey#turkey	2.20	1.00
anchor#stove	1.00	1.00
magazine#oven	1.00	1.00
flute#pier	1.00	1.00
bracelet#jeans	1.60	1.00
shovel#yam	1.00	1.00
gloves#mittens	5.00	4.20
box#screwdriver	1.80	1.00
sailboat#yacht	4.40	3.80
fan_(appliance)#grenade	1.20	1.00
cork#dog	1.00	1.00
airplane#rope	1.00	1.00
pencil#shelves	1.50	1.00
orange#pear	4.00	2.25
cottage#strawberry	1.00	1.00
catapult#wheel	2.25	1.50
bathtub#bedroom	1.75	1.00
blender#cathedral	1.00	1.00
beans#belt	1.00	1.00
onions#rice	2.00	1.00
lion#trolley	1.00	1.00
grape#pumpkin	3.00	1.25
colander#pan	3.00	1.75
lantern#racquet	1.25	1.00
pajamas#shirt	3.50	2.50
pier#skyscraper	2.00	1.25
parakeet#pig	2.00	1.00
bow_(ribbon)#ship	1.00	1.00
dog#moth	1.75	1.00
taxi#van	4.00	3.25
bed#camisole	1.00	1.00
garlic#rooster	1.00	1.00
bull#whistle	1.00	1.00
baton#fork	1.00	1.75
carpet#sheep	1.00	1.00
cranberry#walnut	2.50	1.75
cockroach#mackerel	1.75	1.00
rock#starling	1.00	1.00
box#subway	1.25	1.00
blackbird#pigeon	3.75	2.50
doll#raisin	1.00	1.00
broom#knife	1.50	1.25
pyramid#tuna	1.00	1.00
falcon#salamander	1.60	1.20
robe#vest	3.40	2.60
lamb#platypus	2.60	1.20
cap_(bottle)#drill	1.00	1.00
projector#skis	1.00	1.00
knife#tomahawk	2.80	2.40
cougar#screwdriver	1.00	1.00
cap_(hat)#truck	1.00	1.00
hammer#spider	1.00	1.00
mouse_(computer)#oriole	1.00	1.00
cup#tie	1.00	1.00
sledgehammer#stone	2.00	1.00
crab#seal	2.00	1.20
camisole#unicycle	1.00	1.00
bow_(ribbon)#shoes	1.40	1.20
saddle#wand	1.00	1.00
accordion#goose	1.00	1.00
bear#beetle	1.60	1.20
cockroach#groundhog	1.60	1.40
lantern#sink	1.00	1.20
grapefruit#octopus	1.00	1.20
robin#rooster	4.20	2.80
squid#umbrella	1.00	1.20
sandals#veil	2.00	1.20
raft#rice	1.00	1.00
anchor#eggplant	1.00	1.40
ruler#tank_(army)	1.00	1.00
axe#spatula	2.40	2.00
parka#saxophone	1.00	1.00
bow_(weapon)#peach	1.00	1.00
elephant#pistol	1.00	1.00
paintbrush#violin	1.00	1.20
hyena#ox	3.00	1.80
nectarine#tangerine	4.60	4.20
pier#rocker	1.00	1.00
bin_(waste)#radio	1.00	1.00
python#woodpecker	1.40	1.00
harp#sledgehammer	1.00	1.00
grasshopper#squirrel	1.60	1.00
mackerel#spear	1.00	1.00
bow_(ribbon)#raft	1.00	1.00
cabbage#peas	3.40	1.60
level#ruler	2.80	3.20
cup#jar	4.20	3.20
blueberry#rhubarb	2.80	1.40
iguana#potato	1.00	1.00
menu#train	1.00	1.00
hornet#robin	1.80	1.20
honeydew#van	1.00	1.00
fawn#harpsichord	1.00	1.00
horse#tortoise	1.40	1.20
bolts#screwdriver	3.20	1.60
cabin#wall	2.80	2.00
cottage#panther	1.00	1.00
machete#unicycle	1.00	1.00
bathtub#swimsuit	1.80	1.00
drill#pencil	1.00	1.80
celery#garlic	3.40	1.20
axe#dolphin	1.00	1.00
buckle#crowbar	2.20	1.60
strawberry#tangerine	4.00	2.00
lettuce#peas	3.60	1.40
fawn#stone	1.00	1.00
bison#tiger	3.60	2.20
chickadee#mandarin	1.20	1.20
hatchet#raccoon	1.00	1.00
beets#radio	1.00	1.00
pen#spatula	2.00	1.60
iguana#radish	1.20	1.00
harpsichord#sled	1.20	2.00
necklace#oven	1.20	1.00
canoe#table	1.40	1.40
cannon#worm	1.00	2.00
beehive#jeep	1.00	1.20
banana#pheasant	1.20	1.00
flamingo#seagull	4.60	2.60
ambulance#truck	3.60	3.60
plug_(electric)#rocker	1.20	1.00
bridge#otter	1.00	1.20
bottle#eggplant	1.00	1.40
rhubarb#tongs	1.00	1.40
mixer#revolver	1.20	1.80
groundhog#hamster	4.20	4.00
shed#stove	1.20	1.80
slippers#sweater	2.60	1.40
bomb#shoes	1.20	1.40
hyena#shawl	1.00	1.20
faucet#pants	1.00	1.20
boots#saddle	2.00	1.80
bureau#pot	1.25	1.00
buckle#skillet	1.00	1.25
rocket#sailboat	1.25	1.75
apron#scarf	3.50	1.75
crayon#racquet	1.00	1.50
cow#crocodile	3.00	1.25
pants#robe	4.25	2.25
ruler#sink	1.00	1.00
bull#tortoise	2.00	1.25
chapel#rifle	1.00	1.00
ambulance#motorcycle	3.50	1.75
crow#turnip	1.00	1.00
banjo#peas	1.00	1.00
jeans#sweater	4.50	2.25
beehive#whale	1.00	1.00
vulture#woodpecker	4.25	2.75
bolts#whistle	1.00	1.50
boots#bridge	1.00	1.00
cougar#lime	1.00	1.00
sack#veil	1.00	2.00
candle#car	1.00	1.00
canary#salamander	1.75	1.25
gate#hose_(tubing)	1.00	1.00
bookcase#housefly	1.00	1.00
nectarine#zucchini	3.25	1.50
coat#gorilla	1.00	1.25
accordion#oven	1.00	1.00
chandelier#crab	1.00	1.25
parka#shirt	4.25	3.25
drum#rope	1.00	1.00
baton#beets	1.00	1.00
cedar#faucet	1.00	1.00
cage#wheel	1.00	1.00
cheese#goldfish	1.00	1.00
jacket#mixer	1.00	1.00
coconut#lemon	3.00	1.50
fawn#rabbit	3.50	2.00
bike#screws	1.00	1.00
pig#pot	1.00	1.00
accordion#pan	1.00	1.25
grasshopper#walnut	1.00	1.00
octopus#squid	4.50	3.75
parakeet#pelican	4.25	2.00
dunebuggy#tiger	1.00	1.00
penguin#swan	3.50	2.00
housefly#mink_(coat)	1.00	1.00
alligator#camel	2.50	1.00
bureau#skis	1.00	1.00
necklace#scarf	2.75	1.75
budgie#pheasant	3.75	1.75
lamb#zucchini	1.00	1.00
microscope#spoon	1.00	1.00
stone#tuba	1.00	1.00
panther#van	1.00	1.00
toaster#wall	1.00	1.00
onions#rooster	1.00	1.00
bookcase#dolphin	1.00	1.00
pipe_(plumbing)#radio	1.00	1.00
cheetah#chimp	3.25	1.50
carrot#plum	3.25	1.25
emu#kettle	1.00	1.00
dresser#mushroom	1.00	1.00
horse#robin	1.80	1.00
chain#zebra	1.00	1.00
broccoli#pig	1.00	1.00
buggy#cart	4.00	4.20
beehive#shelves	1.00	1.00
cranberry#mouse	1.00	1.00
helicopter#oven	1.00	1.00
peas#tomato	3.40	1.80
saxophone#whistle	2.20	1.40
canary#stork	3.80	2.20
blackbird#hut	1.00	1.00
hamster#tomahawk	1.00	1.00
camisole#eagle	1.00	1.00
hose_(leggings)#pajamas	3.20	3.00
buffalo#lion	2.60	1.80
ship#truck	3.00	1.00
calf#mackerel	1.40	1.00
grape#tangerine	3.80	1.80
giraffe#platypus	2.40	1.20
boots#trousers	3.00	1.20
jar#necklace	1.00	1.00
salmon#trout	4.60	4.60
bag#stick	1.00	1.00
elk#frog	1.40	1.00
cottage#tripod	1.00	1.00
key#rat	1.00	1.00
bat_(baseball)#pen	1.00	2.20
dagger#pencil	1.00	2.25
brush#stick	1.00	2.25
asparagus#muzzle	1.00	1.00
kettle#sparrow	1.00	1.00
minnow#van	1.00	1.00
hornet#radio	1.00	1.00
spade#wall	1.00	1.00
chickadee#rocker	1.75	1.25
harpsichord#inn	1.00	1.00
celery#grapefruit	2.50	1.00
bat_(baseball)#mouse	1.00	1.00
mushroom#parsley	2.25	1.00
dresser#skis	1.00	1.00
shovel#spinach	1.00	1.00
calf#rabbit	2.25	2.00
brick#building	2.50	1.25
iguana#moose	2.00	1.00
blueberry#duck	1.25	1.00
chair#flute	1.00	1.00
nightgown#robe	4.25	4.00
pillow#sledgehammer	1.00	1.00
emu#rifle	1.00	1.00
bow_(weapon)#necklace	1.00	1.25
axe#hammer	3.50	3.25
shotgun#stereo	1.25	1.00
veil#vest	2.00	1.50
fawn#onions	1.00	1.00
crown#mat	1.00	1.00
key#starling	1.00	1.00
garage#tent	2.50	2.25
camel#deer	3.00	3.00
grater#parsley	1.50	1.00
olive#plum	3.50	2.50
mirror#radish	1.00	1.00
emu#train	1.25	1.00
rattlesnake#skirt	1.00	1.00
pistol#wrench	1.25	2.00
ruler#trout	1.00	1.00
beans#radio	1.00	1.00
magazine#starling	1.00	1.00
chickadee#robin	4.50	4.25
bridge#candle	1.00	1.00
dunebuggy#unicycle	3.00	2.00
axe#saxophone	1.00	1.25
raft#tack	1.00	1.00
lime#sack	1.00	1.00
ant#zucchini	1.00	1.00
boots#raspberry	1.00	1.00
budgie#seagull	3.50	3.25
dandelion#oak	2.50	1.50
harmonica#whistle	3.75	2.25
hare#moth	1.75	1.00
beets#buffalo	1.00	1.00
broom#oven	1.00	1.00
crayon#stick	1.50	3.00
rake#worm	1.00	1.00
faucet#sink	3.75	3.00
bullet#squid	1.00	1.25
crowbar#toilet	1.00	1.00
beehive#peacock	1.25	1.00
biscuit#rocket	1.00	1.00
horse#pillow	1.00	1.00
cauliflower#hoe	1.20	1.00
coyote#woodpecker	1.60	1.20
ashtray#buffalo	1.00	1.00
goose#swan	4.40	4.20
banjo#stick	1.20	1.60
chapel#wheel	1.00	1.00
bison#chimp	2.20	1.20
mink_(coat)#tuba	1.00	1.00
coat#socks	2.80	1.80
cedar#pear	2.00	1.20
blender#typewriter	1.40	1.20
sword#tomahawk	3.40	2.20
caterpillar#revolver	1.00	1.00
bayonet#rifle	4.00	3.00
corkscrew#orange	1.00	1.00
peas#stork	1.00	1.00
beaver#scarf	1.00	1.20
menu#spider	1.00	1.00
lion#zucchini	1.00	1.00
cockroach#platypus	1.40	1.20
raccoon#turtle	1.60	1.40
fawn#moose	3.40	2.40
cap_(bottle)#sled	1.00	1.00
banana#vine	1.80	1.20
chain#clamp	2.60	1.60
boots#mat	1.80	1.00
crowbar#rhubarb	1.00	1.00
magazine#whistle	1.00	1.00
dandelion#shack	1.00	1.00
bottle#pear	1.00	1.00
magazine#pillow	1.00	1.00
lettuce#trombone	1.00	1.00
chair#rifle	1.00	1.00
cello#motorcycle	1.00	1.00
bison#piano	1.00	1.00
cannon#pencil	1.00	1.50
coat#pan	1.00	1.00
bow_(ribbon)#radio	1.00	1.00
missile#shotgun	4.25	1.75
harp#harpsichord	4.50	2.25
bow_(weapon)#candle	1.00	1.00
beaver#falcon	1.50	1.25
fan_(appliance)#kite	1.50	1.00
lamb#mink_(coat)	1.00	1.75
bazooka#cage	1.00	1.00
rabbit#wall	1.00	1.00
bear#skunk	2.50	2.00
trout#wand	1.00	1.00
football#hare	1.00	1.25
corn#sleigh	1.00	1.00
cloak#skillet	1.00	1.00
ant#mouse	1.75	1.25
ambulance#bookcase	1.00	1.00
minnow#vulture	2.00	1.50
bracelet#toilet	1.00	1.00
microwave#toaster	4.00	2.25
bread#garlic	2.50	1.25
bowl#box	2.50	1.75
couch#elephant	1.00	1.00
broccoli#vine	1.80	1.50
blackbird#deer	1.60	1.00
limousine#trailer	1.80	1.75
motorcycle#unicycle	3.20	2.75
pineapple#plate	1.80	1.25
shield#spear	3.60	1.50
comb#pelican	1.00	1.00
grape#lime	4.20	2.50
cellar#duck	1.00	1.00
eel#flamingo	1.60	1.00
sailboat#tortoise	1.00	1.00
bow_(ribbon)#python	1.00	2.50
banner#hyena	1.00	1.00
donkey#plum	1.00	1.00
groundhog#owl	1.80	1.00
cockroach#pigeon	1.60	1.00
bookcase#catapult	1.00	1.00
pheasant#snail	1.60	1.00
balloon#van	1.00	1.00
corn#rice	4.40	2.50
chimp#squirrel	2.20	1.50
nightgown#pepper	1.00	1.00
pot#stool_(furniture)	1.40	1.25
chicken#hare	2.20	1.25
bracelet#dog	1.00	1.00
clock#ruler	1.60	1.00
bedroom#wheel	1.00	1.00
fan_(appliance)#fridge	2.80	1.00
raft#swimsuit	2.40	1.00
cantaloupe#sink	1.25	1.00
door#projector	1.00	1.00
paintbrush#peg	1.25	1.25
hoe#pistol	1.50	1.00
horse#pine	1.00	1.00
rock#stereo	1.50	1.00
rabbit#taxi	1.00	1.00
catfish#salmon	4.00	3.50
bucket#spider	1.00	1.00
missile#violin	1.00	1.00
chandelier#strainer	1.00	1.00
cloak#woodpecker	1.00	1.00
bomb#hammer	1.50	1.25
rat#skyscraper	1.00	1.00
fork#pencil	1.75	1.75
robe#sweater	3.50	3.25
chimp#chipmunk	2.50	1.75
barrel#worm	1.00	1.00
camisole#dish	2.00	2.00
cheese#lemon	2.00	1.75
ashtray#peach	1.00	1.00
armour#boots	2.00	1.50
bra#chapel	1.00	1.00
pickle#plum	3.00	1.75
tack#toaster	1.00	1.00
duck#owl	3.50	3.00
leopard#squirrel	2.50	2.00
crown#trumpet	1.50	1.25
fridge#stove	3.00	2.00
python#seagull	1.50	1.00
bucket#squid	1.00	1.33
mixer#saddle	1.00	1.00
earmuffs#radio	1.25	1.00
tomahawk#trout	1.00	1.33
armour#curtains	1.25	1.33
leopard#whale	1.50	1.00
cantaloupe#grape	4.00	2.00
pineapple#tuna	1.25	1.00
book#peas	1.00	1.00
church#cockroach	1.00	1.00
bomb#wheel	1.00	1.00
mackerel#snail	1.50	1.00
elevator#house	2.50	1.33
bow_(ribbon)#violin	1.00	1.00
parsley#pickle	2.00	1.00
crab#swan	1.50	1.00
gloves#trousers	2.75	1.67
chimp#mouse	2.25	1.33
keyboard_(musical)#wall	1.00	1.00
buggy#eggplant	1.00	1.00
chickadee#rhubarb	1.00	1.00
celery#pencil	1.00	2.33
cupboard#woodpecker	1.00	1.00
budgie#fork	1.00	1.00
nectarine#peg	1.00	1.00
bull#horse	3.50	3.67
bathtub#rice	1.00	1.00
bullet#parka	1.00	1.00
bolts#dagger	1.00	1.50
radio#rice	1.00	1.00
garage#ship	1.00	1.00
cherry#walnut	4.00	3.25
broccoli#chandelier	1.00	1.25
apartment#key	1.50	1.00
baton#emu	1.00	1.00
woodpecker#zebra	2.00	1.00
mink_(animal)#skunk	3.75	3.50
belt#pin	2.00	1.25
canoe#moose	1.00	1.00
lion#wasp	1.75	1.00
garlic#onions	4.50	3.75
buffalo#rabbit	2.75	1.25
couch#sack	1.00	1.00
football#parka	1.00	1.00
cranberry#jar	1.00	1.00
crayon#wand	1.25	3.00
tack#tripod	1.00	1.00
crowbar#mittens	1.00	1.00
colander#pistol	1.00	1.00
pajamas#vest	3.00	2.25
boat#spear	1.25	1.25
beaver#squirrel	3.25	2.50
dandelion#spatula	1.00	1.00
bracelet#scarf	2.75	1.75
crane_(machine)#truck	2.50	1.75
bat_(animal)#hyena	2.25	1.25
grape#nectarine	3.75	2.25
cloak#slippers	2.50	1.50
bluejay#dish	1.00	1.00
cockroach#rat	2.50	1.50
cod#walrus	2.25	1.50
rattlesnake#sofa	1.00	1.00
crowbar#dandelion	1.00	1.00
mittens#socks	3.50	4.00
cauliflower#python	1.00	1.00
camisole#chipmunk	1.00	1.00
dunebuggy#train	3.00	2.00
cabin#gloves	1.00	1.00
curtains#level	1.00	1.00
garage#trailer	2.00	2.25
pumpkin#trolley	1.00	1.00
cake#guitar	1.00	1.00
cottage#spoon	1.00	1.00
key#pin	1.00	1.75
basket#slippers	1.25	1.75
kite#tent	1.00	1.75
broccoli#olive	2.75	1.75
apron#coat	2.75	3.00
ant#trumpet	1.00	1.00
canoe#donkey	1.75	1.00
bag#sack	5.00	5.00
radio#ruler	1.00	1.00
bureau#table	3.25	3.25
elevator#gate	1.25	1.25
raft#stool_(furniture)	1.25	1.50
beetle#cougar	1.75	1.00
chickadee#telephone	1.00	1.00
building#door	2.00	1.75
beaver#grasshopper	2.25	1.00
jeans#pineapple	1.00	1.00
buckle#butterfly	1.00	1.00
bear#bread	1.25	1.00
couch#otter	1.00	1.00
cup#horse	1.00	1.00
coconut#peach	3.50	2.50
radio#submarine	1.25	1.00
cottage#yam	1.00	1.00
broom#closet	1.50	1.00
hoe#paintbrush	1.25	1.50
bench#car	1.00	1.00
banana#corn	2.75	3.00
cloak#scarf	3.50	2.75
dish#missile	1.00	1.00
crow#freezer	1.00	1.00
subway#trailer	2.25	2.75
carrot#dove	1.00	1.00
harpsichord#tack	1.00	1.00
deer#goldfish	2.00	1.00
bat_(animal)#falcon	2.75	2.75
bathtub#cheese	1.00	1.00
bottle#dog	1.00	1.00
cod#willow	1.00	1.00
boots#brush	1.25	1.00
chicken#yacht	1.00	1.00
bullet#gun	3.25	1.25
tiger#vulture	2.00	1.00
bouquet#socks	1.00	1.00
lobster#squid	3.75	2.25
grater#radio	1.00	1.00
clarinet#necklace	1.00	1.00
envelope#guppy	1.00	1.00
bracelet#chain	2.75	4.00
grasshopper#otter	1.50	1.25
brush#tank_(container)	1.00	1.00
penguin#rocker	1.00	1.00
accordion#cabbage	1.00	1.25
catapult#ship	1.00	1.00
bench#couch	4.50	3.75
chickadee#mackerel	1.75	1.25
balloon#python	1.00	1.00
subway#train	4.50	3.75
cherry#cranberry	4.50	4.75
microwave#skillet	3.50	1.25
crow#donkey	1.50	1.25
knife#strainer	3.00	1.25
beaver#chipmunk	3.75	3.00
machete#scissors	3.50	1.25
curtains#hook	2.50	1.00
comb#rooster	1.00	1.00
leopard#nightingale	1.50	1.25
banner#building	1.25	1.00
tortoise#tuna	2.25	1.25
marble#tractor	1.00	1.00
bolts#platypus	1.00	1.00
football#wrench	1.00	1.00
banner#lettuce	1.00	1.00
otter#walrus	3.50	3.25
hatchet#wrench	2.75	1.25
celery#flute	1.00	1.50
banjo#skis	1.00	1.00
asparagus#toaster	1.25	1.00
buzzard#turtle	1.75	1.00
accordion#whistle	3.50	1.50
carrot#onions	3.75	1.75
grenade#rifle	3.50	1.00
robin#woodpecker	4.00	3.75
nightingale#stork	4.00	2.75
envelope#tape_(scotch)	2.50	1.00
crossbow#moose	1.25	1.00
balloon#bed	1.00	1.00
bear#harp	1.00	1.00
ashtray#hornet	1.00	1.00
orange#raisin	3.25	2.00
goat#tuna	1.75	1.00
toilet#yacht	1.00	1.00
cap_(hat)#cello	1.00	1.00
plug_(electric)#sofa	1.25	1.00
sardine#trout	4.00	3.50
clarinet#harmonica	4.00	1.50
bluejay#worm	1.75	1.00
starling#swan	4.00	3.00
bathtub#hose_(tubing)	1.75	1.00
machete#mouse_(computer)	1.00	1.00
corn#tomato	3.00	1.50
key#projector	1.00	1.00
drum#tent	1.00	1.25
radish#tomato	3.50	3.25
book#wasp	1.00	1.00
goose#zucchini	1.00	1.00
porcupine#skunk	3.75	3.50
brick#sofa	1.00	1.25
pigeon#robin	4.50	4.00
