Concept,Feature,WB_Label,WB_Maj,WB_Min,BR_Label,Prod_Freq,Rank_PF,Sum_PF_No_Tax,CPF,Disting,Distinct,CV_No_Tax,Intercorr_Str_Tax,Intercorr_Str_No_Tax,Feat_Length_Including_Spaces,Phon_1st,KF,ln(KF),BNC,ln(BNC),Familiarity,Length_Letters,Length_Phonemes,Length_Syllables,Bigram,Trigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax
airplane,is_large,external_surface_property,e,se,visual-form_and_surface,8,7,1076,106,ND,0.009,0.007,0,0,8,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,made_of_metal,made_of,e,m,visual-form_and_surface,8,7,1472,133,ND,0.008,0.005,0,0,13,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,inbeh_-_crashes,entity_behavior,e,b,visual-motion,7,10,7,1,D,1.000,1.000,0,0,15,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,used_for_travel,function,s,f,function,7,10,20,3,ND,0.333,0.350,127.82,127.82,15,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,has_a_propeller,external_component,e,ce,visual-form_and_surface,5,12,10,2,D,0.500,0.500,0,0,15,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
airplane,has_engines,internal_component,e,ci,visual-form_and_surface,5,12,14,2,D,0.500,0.357,0,0,11,E@,21,3.04,108,4.68,6.55,8,5,2,254.93,32.61,0,13,13,4,30.8,0.300,0.303,308.59,10,28,3,3,5,0,0,0,0,0,2,0
alligator,has_teeth,internal_component,e,ci,visual-form_and_surface,22,1,144,14,ND,0.071,0.153,78.92,61.34,9,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,is_green,external_surface_property,e,se,visual-colour,19,2,834,47,ND,0.021,0.023,0,0,8,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,an_animal,superordinate,c,h,taxonomic,16,3,,99,ND,0.010,,29.56,0,9,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,is_long,external_surface_property,e,se,visual-form_and_surface,14,4,844,81,ND,0.012,0.017,0,0,7,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,a_reptile,superordinate,c,h,taxonomic,13,5,,8,ND,0.125,,97.94,0,9,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,lives_in_swamps,location,s,l,encyclopaedic,12,6,32,3,ND,0.333,0.375,111.33,71.47,15,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,has_scales,external_component,e,ce,visual-form_and_surface,11,7,88,10,ND,0.100,0.125,96.49,78.45,10,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,lives_in_water,location,s,l,encyclopaedic,11,7,394,32,ND,0.031,0.028,91.06,91.06,14,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,has_a_tail,external_component,e,ce,visual-form_and_surface,9,9,379,39,ND,0.026,0.024,46.64,6.7,10,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,is_scary,affect_emotion,i,a,encyclopaedic,8,10,24,4,ND,0.250,0.333,48.03,35.95,8,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,beh_-_swims,entity_behavior,e,b,visual-motion,6,11,411,33,ND,0.030,0.015,84.27,84.27,11,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,has_a_mouth,external_component,e,ce,visual-form_and_surface,6,11,6,1,D,1.000,1.000,0,0,11,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,lives_in_Florida,location,s,l,encyclopaedic,6,11,6,1,D,1.000,1.000,0,0,16,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,beh_-_eats_people,entity_behavior,e,b,visual-motion,5,14,11,2,D,0.500,0.455,0,0,17,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,has_jaws,internal_component,e,ci,visual-form_and_surface,5,14,5,1,D,1.000,1.000,0,0,8,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
alligator,is_dangerous,systemic_property,e,sys,encyclopaedic,5,14,316,37,ND,0.027,0.016,0,0,12,&,4,1.39,114,4.74,3.75,9,8,4,214.76,42.59,0,16,14,4,28.6,0.314,0.326,214.62,10,22,0,2,6,1,0,0,0,0,5,2
ambulance,has_a_siren,external_component,e,ce,visual-form_and_surface,25,1,25,1,D,1.000,1.000,0,0,11,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,has_flashing_lights,external_component,e,ce,visual-form_and_surface,18,2,18,1,D,1.000,1.000,0,0,19,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_fast,systemic_property,e,sys,visual-motion,17,3,346,33,ND,0.030,0.049,10.79,10.79,7,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_white,external_surface_property,e,se,visual-colour,17,3,634,51,ND,0.020,0.027,0,0,8,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_by_hospitals,participant,s,p,function,13,5,13,1,D,1.000,1.000,0,0,17,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_for_emergencies,function,s,f,function,13,5,13,1,D,1.000,1.000,0,0,20,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,a_vehicle,superordinate,c,h,taxonomic,9,7,,10,ND,0.100,,51.33,0,9,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,requires_caregivers,contingency,i,c,encyclopaedic,9,7,9,1,D,1.000,1.000,0,0,19,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,has_4_wheels,external_component,e,ce,visual-form_and_surface,8,9,124,11,ND,0.091,0.065,46.96,15.21,12,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_red,external_surface_property,e,se,visual-colour,8,9,382,26,ND,0.038,0.021,0,0,6,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_by_sick_people,participant,s,p,function,8,9,8,1,D,1.000,1.000,0,0,19,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_for_injuries,function,s,f,function,7,12,7,1,D,1.000,1.000,0,0,17,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,a_van,coordinate,c,c,taxonomic,6,13,,1,D,1.000,,0,0,5,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_large,external_surface_property,e,se,visual-form_and_surface,6,13,1076,106,ND,0.009,0.006,0,0,8,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_loud,external_surface_property,e,se,sound,5,15,317,34,ND,0.029,0.016,0,0,7,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,is_orange,external_surface_property,e,se,visual-colour,5,15,210,15,ND,0.067,0.024,0,0,9,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_by_paramedics,participant,s,p,function,5,15,5,1,D,1.000,1.000,0,0,18,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_for_rescuing,function,s,f,function,5,15,5,1,D,1.000,1.000,0,0,17,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
ambulance,used_for_transportation,function,s,f,function,5,15,323,33,ND,0.030,0.015,45.58,26,23,&,7,1.95,1846,7.52,6.45,9,9,3,287.82,135.47,0,19,17,9,52.9,0.548,0.542,26.00,2,7,7,1,4,3,1,0,0,0,1,2
anchor,is_heavy,systemic_property,e,sys,tactile,22,1,253,27,ND,0.037,0.087,16.2,16.2,8,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,made_of_metal,made_of,e,m,visual-form_and_surface,21,2,1472,133,ND,0.008,0.014,0,0,13,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,found_on_boats,location,s,l,encyclopaedic,19,3,24,2,D,0.500,0.792,0,0,14,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,used_for_holding_boats_still,function,s,f,function,11,4,11,1,D,1.000,1.000,0,0,28,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,inbeh_-_sinks,entity_behavior,e,b,encyclopaedic,8,5,8,1,D,1.000,1.000,0,0,13,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,used_for_staying_stationary,function,s,f,function,8,5,8,1,D,1.000,1.000,0,0,27,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,found_in_water,location,s,l,encyclopaedic,7,7,7,1,D,1.000,1.000,0,0,14,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,made_of_iron,made_of,e,m,visual-form_and_surface,7,7,21,3,ND,0.333,0.333,16.2,16.2,12,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,is_attached_to_chains,associated_entity,s,e,encyclopaedic,6,9,6,1,D,1.000,1.000,0,0,21,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,is_large,external_surface_property,e,se,visual-form_and_surface,6,9,1076,106,ND,0.009,0.006,0,0,8,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,used_on_boats,associated_entity,s,e,encyclopaedic,6,9,6,1,D,1.000,1.000,0,0,13,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,an_inanimate,superordinate,c,h,taxonomic,5,12,,1,D,1.000,,0,0,12,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,is_attached_to_ropes,associated_entity,s,e,encyclopaedic,5,12,5,1,D,1.000,1.000,0,0,20,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
anchor,used_by_sailors,participant,s,p,function,5,12,5,1,D,1.000,1.000,0,0,15,&,17,2.83,700,6.55,3.85,6,5,2,336.50,22.85,0,14,13,9,69.2,0.684,0.710,16.20,1,17,3,0,3,0,0,0,0,1,6,1
ant,an_insect,superordinate,c,h,taxonomic,18,1,,12,ND,0.083,,54.97,0,9,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,is_small,external_surface_property,e,se,visual-form_and_surface,18,1,1229,121,ND,0.008,0.015,0,0,8,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,is_black,external_surface_property,e,se,visual-colour,15,3,607,50,ND,0.020,0.025,0,0,8,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,lives_in_ground,location,s,l,encyclopaedic,12,4,64,5,ND,0.200,0.188,6.54,6.54,15,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,is_strong,systemic_property,e,sys,encyclopaedic,11,5,73,8,ND,0.125,0.151,6.86,6.86,9,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,is_red,external_surface_property,e,se,visual-colour,9,6,382,26,ND,0.038,0.024,0,0,6,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,lives_in_a_hill,location,s,l,encyclopaedic,9,6,9,1,D,1.000,1.000,0,0,15,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,lives_in_a_colony,larger_whole,e,w,encyclopaedic,8,8,8,1,D,1.000,1.000,0,0,17,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,has_6_legs,external_component,e,ce,visual-form_and_surface,6,9,16,3,ND,0.333,0.375,37.45,26.83,10,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,beh_-_bites,entity_behavior,e,b,visual-motion,5,10,33,4,ND,0.250,0.152,0,0,11,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,beh_-_crawls,entity_behavior,e,b,visual-motion,5,10,34,5,ND,0.200,0.147,37.62,13.43,12,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
ant,has_antennae,external_component,e,ce,visual-form_and_surface,5,10,28,4,ND,0.250,0.179,20.16,0,12,&,13,2.56,1012,6.92,7.55,3,3,1,0.00,0.00,6,12,11,2,18.2,0.311,0.296,26.83,3,8,0,2,3,2,0,0,0,0,4,1
apartment,used_for_living_in,function,s,f,function,20,1,54,4,ND,0.250,0.370,103.89,72.85,18,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_bedrooms,internal_component,e,ci,visual-form_and_surface,17,2,22,2,D,0.500,0.773,0,0,12,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,found_in_buildings,location,s,l,encyclopaedic,16,3,38,3,ND,0.333,0.421,22.53,22.53,18,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,requires_rent,contingency,i,c,encyclopaedic,14,4,14,1,D,1.000,1.000,0,0,13,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_a_kitchen,internal_component,e,ci,visual-form_and_surface,11,5,16,2,D,0.500,0.688,0,0,13,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,is_small,external_surface_property,e,se,visual-form_and_surface,11,5,1229,121,ND,0.008,0.009,0,0,8,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_a_bathroom,internal_component,e,ci,visual-form_and_surface,9,7,9,1,D,1.000,1.000,0,0,14,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_a_bedroom,internal_component,e,ci,visual-form_and_surface,9,7,9,1,D,1.000,1.000,0,0,13,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_tenants,associated_entity,s,e,encyclopaedic,9,7,9,1,D,1.000,1.000,0,0,11,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,associated_with_2_bedrooms,associated_entity,s,e,encyclopaedic,8,10,8,1,D,1.000,1.000,0,0,26,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,is_furnished,systemic_property,e,sys,encyclopaedic,8,10,8,1,D,1.000,1.000,0,0,12,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,requires_a_landlord,contingency,i,c,encyclopaedic,8,10,8,1,D,1.000,1.000,0,0,19,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,a_house,superordinate,c,h,taxonomic,7,13,,6,ND,0.167,,43.58,0,7,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,has_a_balcony,external_component,e,ce,visual-form_and_surface,7,13,7,1,D,1.000,1.000,0,0,13,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
apartment,made_of_brick,made_of,e,m,visual-form_and_surface,6,15,50,5,ND,0.200,0.120,79.22,66.68,13,@,98,4.58,1948,7.57,7.80,9,8,3,593.42,309.09,0,18,17,12,70.6,0.671,0.688,101.60,4,40,1,0,8,0,0,0,0,0,8,1
