#subject	#object	#spatial 0->inside 1->beside 2->under 3->over
tree	flowers	0
tree	hill	2
tree	woods	1
tree	giraffe	1
tree	field	2
tree	water	2
tree	snow	2
tree	yard	2
tree	wall	2
tree	man	2
tree	sky	1
tree	row	1
tree	park	2
tree	bench	2
tree	sign	0
tree	shadow	2
tree	bark	0
tree	distance	1
tree	background	1
tree	boat	2
tree	mountain	2
tree	truck	2
tree	river	2
tree	forest	1
tree	tracks	2
tree	train	2
tree	zebra	2
tree	people	2
tree	elephant	2
tree	lake	2
tree	lights	0
tree	woman	2
tree	horse	2
tree	beach	2
tree	track	2
tree	hillside	2
tree	boy	1
tree	pasture	2
tree	path	2
tree	shore	2
tree	girl	2
tree	photo	2
tree	person	2
tree	slope	2
tree	bear	2
tree	cow	2
tree	sheep	2
tree	skier	2
trees	sidewalk	2
trees	road	2
trees	hills	1
trees	house	1
trees	fence	2
trees	trees	0
trees	buildings	3
trees	man	2
trees	water	2
trees	mountains	0
trees	field	2
trees	sky	3
trees	building	1
trees	leaves	0
trees	park	2
trees	mountain	0
trees	shore	2
trees	forest	0
trees	hill	2
trees	street	2
trees	river	2
trees	woman	0
trees	grass	2
trees	people	2
trees	horizon	0
trees	wall	2
trees	branches	0
trees	window	0
trees	snow	2
trees	ground	2
trees	giraffes	2
trees	train	2
trees	giraffe	2
trees	tracks	2
trees	distance	0
trees	background	0
trees	hillside	0
trees	plane	3
trees	elephant	2
trees	zebra	2
trees	slope	2
trees	beach	2
trees	elephants	2
trees	sign	0
trees	bus	2
trees	back	0
trees	bench	2
trees	bear	2
trees	person	2
trees	horse	2
trees	lake	2
trees	cow	2
crosswalk	road	2
crosswalk	street	0
building	window	0
building	street	2
building	beach	2
building	windows	0
building	building	0
building	balcony	0
building	sidewalk	2
building	city	1
building	tree	0
building	door	0
building	bridge	2
building	trim	0
building	balconies	0
building	distance	1
building	wall	0
building	awning	0
building	people	2
building	light	0
building	bricks	0
building	side	0
building	corner	0
building	person	2
building	background	1
building	man	2
building	roof	0
building	road	2
building	trees	1
building	sign	0
building	lights	0
building	water	2
building	sky	3
building	arch	0
building	tower	0
building	clock	0
building	car	2
building	chimney	0
building	brick	0
building	airplane	2
building	shore	2
building	mountain	2
building	stone	0
building	plane	3
building	hill	2
building	top	0
building	field	2
building	tracks	2
building	train	2
building	bus	1
building	airport	2
building	symbols	0
building	fence	2
building	truck	2
building	giraffe	0
keyboard	monitor	3
keyboard	desk	0
keyboard	computer	3
keyboard	table	2
keyboard	key	0
keyboard	laptop	3
mouse	keyboard	2
mouse	desk	2
mouse	mousepad	0
mouse	pad	0
mouse	table	2
mouse	computer	3
mouse	laptop	3
girl	hair	0
girl	necklace	0
girl	dress	0
girl	coat	0
girl	hand	0
girl	table	2
girl	chair	0
girl	jacket	0
girl	beach	1
girl	shorts	0
girl	boots	0
girl	hat	0
girl	eyes	0
girl	ponytail	0
girl	shirt	0
girl	skirt	0
girl	foot	0
girl	woman	1
girl	pink	0
girl	water	2
girl	book	0
girl	backpack	0
girl	shoe	0
girl	bag	0
girl	girl	0
girl	sweater	0
girl	eye	0
girl	nose	0
girl	mouth	0
girl	ear	0
girl	eyebrow	0
girl	shoes	0
girl	cap	0
girl	jeans	0
girl	pants	0
girl	bike	0
girl	horse	2
girl	sunglasses	0
girl	bench	0
girl	laptop	0
girl	bikini	0
girl	glasses	0
girl	ball	0
girl	umbrella	0
girl	surfboard	2
girl	sock	0
girl	hoodie	0
girl	dog	0
girl	phone	0
girl	street	1
girl	skis	0
girl	t-shirt	0
girl	headband	0
girl	frisbee	0
girl	top	0
girl	court	1
girl	racket	0
girl	blouse	0
girl	bear	0
girl	gloves	0
girl	leg	0
girl	controller	0
girl	pizza	0
girl	kite	3
girl	snow	1
girl	scarf	0
girl	arm	0
girl	ground	1
girl	bracelet	0
girl	bed	0
girl	helmet	0
girl	bat	0
girl	head	0
girl	goggles	0
girl	banana	0
girl	couch	0
girl	racquet	1
girl	donut	0
girl	face	0
girl	skateboard	0
girl	earring	0
girl	field	1
girl	grass	1
girl	cellphone	0
girl	food	0
girl	sand	0
girl	teeth	0
girl	sidewalk	2
girl	cake	0
girl	board	2
girl	glove	0
outlet	wall	3
pen	desk	2
pen	table	2
pen	paper	1
pen	notebook	0
wall	tiles	0
wall	window	0
wall	building	0
wall	wall	0
wall	bricks	0
wall	man	0
wall	brick	0
wall	table	2
wall	bed	2
wall	road	2
wall	sidewalk	2
wall	room	2
wall	kitchen	0
wall	picture	0
wall	bathroom	0
wall	bench	0
wall	clock	0
wall	stone	0
wall	rock	0
wall	person	0
wall	woman	0
wall	background	0
wall	shadow	0
wall	toilet	0
wall	bear	0
wall	giraffe	0
wall	water	2
wall	mirror	0
wall	fence	3
wall	edge	0
wall	spot	0
wall	cat	2
wall	graffiti	0
wall	sign	0
wall	tile	0
wall	train	1
wall	part	0
bag	table	2
bag	counter	2
bag	floor	2
bag	strap	0
bag	handle	0
bag	shoulder	0
bag	hand	3
bag	woman	3
bag	bench	1
bag	bed	1
bag	ground	2
bag	man	3
bag	chair	0
bag	bag	0
bag	motorcycle	2
bag	bike	2
calendar	wall	1
woman	computer	1
woman	pants	0
woman	earring	0
woman	sweater	0
woman	chair	0
woman	photo	0
woman	hair	0
woman	watch	0
woman	shirt	0
woman	dress	0
woman	top	0
woman	ocean	0
woman	skirt	0
woman	shorts	0
woman	bag	0
woman	purse	0
woman	jacket	0
woman	sidewalk	2
woman	sunglasses	0
woman	wall	0
woman	woman	0
woman	table	2
woman	glasses	0
woman	blouse	0
woman	necklace	0
woman	water	1
woman	swimsuit	0
woman	nose	0
woman	jeans	0
woman	arm	0
woman	hand	0
woman	ear	0
woman	couch	0
woman	white	0
woman	bench	0
woman	stroller	1
woman	coat	0
woman	scarf	0
woman	sneaker	0
woman	smile	0
woman	head	0
woman	eye	0
woman	feet	0
woman	leg	0
woman	neck	0
woman	umbrella	0
woman	lipstick	0
woman	street	1
woman	hat	0
woman	road	2
woman	ponytail	0
woman	cellphone	0
woman	window	0
woman	car	0
woman	suit	0
woman	man	1
woman	mouth	0
woman	food	0
woman	ground	2
woman	cap	0
woman	shadow	2
woman	apron	0
woman	grass	1
woman	building	3
woman	dog	0
woman	handbag	0
woman	sandals	0
woman	child	0
woman	phone	0
woman	backpack	0
woman	shoes	0
woman	beach	1
woman	bike	0
woman	red	0
woman	pole	0
woman	tennis	1
woman	ball	0
woman	headband	0
woman	sign	0
woman	black	0
woman	boot	0
woman	book	0
woman	goggles	0
woman	picture	0
woman	baby	0
woman	blue	0
woman	bottle	0
woman	tank	0
woman	luggage	0
woman	outfit	0
woman	hands	0
woman	cup	0
woman	suitcase	0
woman	clothes	0
woman	vest	0
woman	sweatshirt	0
woman	bicycle	0
woman	floor	1
woman	counter	2
woman	tanktop	0
woman	girl	1
woman	cigarette	0
woman	eyes	0
woman	camera	0
woman	boots	0
woman	horse	0
woman	train	1
woman	donut	0
woman	bracelet	0
woman	shoe	0
woman	arms	0
woman	bikini	0
woman	laptop	0
woman	skis	0
woman	surfboard	0
woman	wetsuit	0
woman	helmet	0
woman	t-shirt	0
woman	remote	0
woman	ring	0
woman	eyeglasses	0
woman	leggings	0
woman	cake	1
woman	snowboard	0
woman	frisbee	0
woman	fence	1
woman	gloves	0
woman	elbow	0
woman	sock	0
woman	hoodie	0
woman	sofa	0
woman	knife	0
woman	legs	0
woman	motorcycle	0
woman	elephant	1
woman	bracelets	0
woman	teeth	0
woman	face	0
woman	cat	0
woman	shoulder	0
woman	cow	1
woman	clothing	0
woman	boat	2
woman	paper	0
woman	sand	2
woman	dryer	0
woman	park	0
woman	field	1
woman	kite	3
woman	socks	0
woman	earrings	0
woman	kitchen	0
woman	sheep	1
woman	plate	0
woman	towel	0
woman	visor	0
woman	truck	1
woman	bus	1
woman	sandal	0
woman	bed	0
woman	banana	0
woman	belt	0
woman	wine	0
woman	platform	2
woman	glove	0
woman	court	0
woman	racket	0
woman	controller	0
woman	pizza	0
woman	mirror	0
woman	board	0
woman	skateboard	0
woman	wave	1
woman	bat	0
woman	foot	0
woman	glass	0
woman	racquet	1
woman	background	1
woman	snow	2
woman	tie	0
woman	picnic	2
woman	bananas	0
woman	toothbrush	0
woman	eyebrow	0
woman	fork	0
woman	capris	0
woman	giraffe	1
woman	knee	0
woman	finger	0
woman	sneakers	0
woman	costume	0
woman	lips	0
woman	poles	0
woman	ski	2
woman	wrist	0
woman	wristband	0
woman	fingers	0
woman	fruits	0
woman	wii	0
woman	boy	1
woman	cardigan	0
woman	heels	0
woman	sandwich	0
woman	tattoo	0
woman	thumb	0
woman	meat	1
woman	burger	0
woman	soccer	1
picture	wall	2
picture	frame	0
picture	picture	0
picture	table	2
picture	bed	2
picture	shelf	2
picture	woman	0
picture	man	0
picture	outside	0
picture	car	0
telephone	desk	2
telephone	table	2
telephone	wall	3
drawer	handle	0
drawer	desk	3
drawer	counter	3
drawer	dresser	3
drawer	cabinet	2
drawer	kitchen	3
monitor	desk	2
monitor	screen	0
monitor	computer	0
monitor	table	2
monitor	laptop	0
monitor	people	0
curtains	window	0
chair	table	1
chair	desk	1
chair	wall	3
chair	leg	0
chair	wheels	0
chair	back	0
chair	chair	0
chair	room	3
chair	window	3
chair	legs	0
chair	wheel	0
chair	umbrella	3
chair	cushion	0
chair	sidewalk	2
chair	arm	0
chair	floor	2
chair	beach	2
chair	sand	2
chair	ground	2
chair	grass	2
chair	seat	0
chair	tv	1
chair	bed	1
chair	corner	3
chair	casino	3
chair	man	3
carpet	floor	0
carpet	ground	0
carpet	carpet	0
carpet	room	3
pillow	couch	2
pillow	sofa	2
pillow	bed	2
pillow	chair	0
pillow	dog	2
pillow	headboard	3
pillow	pillow	0
pillow	cat	2
pillow	floor	2
animal	water	2
animal	field	2
animal	grass	2
animal	ground	2
animal	picture	1
animal	horns	0
animal	animal	0
animal	spot	0
door	building	3
door	room	1
door	car	0
door	door	0
door	house	3
door	mirror	0
door	wall	1
door	glass	0
door	airplane	3
door	window	0
door	knob	0
door	oven	0
door	garage	0
door	cabinet	0
door	refrigerator	0
door	handle	0
door	truck	1
door	plane	3
door	train	1
door	microwave	0
door	bus	1
door	kitchen	1
door	fridge	1
door	man	1
door	hinge	0
door	bathroom	1
door	shower	1
lamp	couch	2
lamp	floor	2
lamp	shade	0
lamp	desk	2
lamp	stand	2
lamp	chair	2
lamp	wall	3
lamp	table	2
lamp	street	2
lamp	bed	2
lamp	building	2
lamp	pole	2
lamp	ceiling	1
lamp	room	1
lamp	nightstand	2
lamp	corner	0
lamp	post	2
lamp	lamp	0
lamp	window	1
lamp	mirror	1
books	books	0
books	shelves	0
books	shelf	2
books	bookshelf	0
books	table	2
books	desk	2
books	bookcase	0
printer	desk	2
railing	balcony	0
railing	stairs	0
railing	bridge	2
railing	building	3
railing	wall	2
railing	boat	2
railing	train	1
paper	table	2
paper	counter	2
paper	hand	0
paper	desk	2
paper	wall	2
paper	paper	0
paper	ground	2
paper	box	0
paper	board	1
paper	floor	2
paper	writing	0
paper	refrigerator	2
paper	pizza	0
paper	tray	0
paper	fridge	2
paper	sandwich	0
paper	donut	0
paper	toilet	2
shelves	wall	2
room	window	0
room	office	0
chairs	table	0
chairs	chairs	0
chairs	snow	1
clothes	bed	1
apple	bowl	2
apple	table	2
apple	orange	2
apple	basket	2
apple	stem	0
apple	plate	0
apple	tree	3
apple	apple	0
apple	box	3
apple	tray	3
apple	crate	2
glass	milk	0
glass	liquid	0
glass	counter	2
glass	table	2
glass	water	0
glass	glass	0
glass	wine	0
glass	building	0
glass	plate	2
glass	coaster	0
glass	desk	2
glass	shelf	2
glass	door	0
glass	window	2
glass	juice	0
glass	beer	0
glass	straw	0
glass	drink	0
glass	hand	0
glass	soda	0
glass	pizza	2
glass	tray	2
glass	stem	0
top	building	2
top	table	0
top	bottle	2
top	tree	2
top	hydrant	2
top	railing	2
top	train	2
top	top	0
top	tower	2
top	church	2
fork	plate	2
fork	napkin	0
fork	table	1
fork	dish	2
fork	handle	0
fork	bowl	2
fork	hand	2
fork	pizza	1
fork	food	2
fork	tines	0
fork	knife	0
fork	cake	3
fork	container	1
fork	tine	0
liquid	glass	0
liquid	bottle	3
liquid	cup	0
bowl	counter	2
bowl	table	2
bowl	sauce	0
bowl	bowl	0
bowl	soup	0
bowl	tray	2
bowl	food	0
bowl	fruit	0
bowl	plate	0
bowl	cereal	0
bowl	spoon	0
bowl	shelf	2
bowl	salad	0
bowl	toilet	3
bowl	orange	0
bowl	liquid	0
bowl	broccoli	0
pan	stove	2
pan	table	0
pan	wall	2
pan	handle	0
pan	pizza	0
food	tray	0
food	table	0
food	plate	0
food	pan	0
food	grill	2
food	bowl	0
food	dish	0
food	hand	2
food	stove	0
food	container	0
food	counter	0
food	food	0
food	oven	0
container	counter	2
container	shelf	2
container	lid	0
container	table	2
container	container	0
container	food	0
leg	chair	3
leg	person	3
leg	woman	3
leg	elephant	3
leg	bird	3
leg	giraffe	3
leg	man	3
leg	table	1
leg	horse	3
leg	bench	3
leg	player	3
leg	dog	3
leg	leg	0
leg	cow	3
leg	boy	3
leg	zebra	3
leg	cat	3
leg	bear	3
leg	sheep	3
leg	girl	3
leg	ground	1
leg	animal	3
crumb	plate	3
bottle	desk	2
bottle	cap	0
bottle	table	2
bottle	bottle	0
bottle	water	0
bottle	shelf	2
bottle	wine	0
bottle	lid	0
bottle	liquid	0
bottle	soap	0
bottle	label	0
bottle	counter	2
bottle	top	0
bottle	beer	0
bottle	refrigerator	2
bottle	hand	0
bottle	ground	2
bottle	ketchup	0
bottle	floor	2
bottle	sink	2
bottle	fridge	2
bottle	refridgerator	2
book	desk	2
book	shelf	2
book	bookshelf	2
book	table	2
book	bed	2
book	book	0
book	bookcase	3
book	floor	3
book	hand	0
book	hands	0
book	stack	0
lady	hair	0
lady	hat	0
lady	shirt	0
lady	head	0
lady	bench	0
lady	dress	0
lady	watch	0
lady	top	0
lady	jeans	0
lady	hand	0
lady	pants	0
lady	jacket	0
lady	coat	0
lady	ear	0
lady	bag	0
lady	purse	0
lady	table	2
lady	chair	0
lady	glasses	0
lady	lady	0
lady	sunglasses	0
lady	street	1
lady	sweater	0
lady	umbrella	0
lady	phone	0
lady	horse	2
lady	turquoise	0
headphones	desk	2
papers	desk	2
papers	table	2
papers	wall	2
bracelet	wrist	0
bracelet	arm	3
bracelet	hand	3
bracelet	woman	3
cereal	bowl	0
mug	desk	1
mug	table	2
mug	handle	0
mug	coffee	0
mug	counter	2
laptop	desk	2
laptop	screen	0
laptop	table	2
laptop	bed	0
laptop	laptop	0
laptop	lap	2
laptop	keyboard	0
laptop	couch	2
laptop	man	3
laptop	logo	0
cup	desk	2
cup	shelf	2
cup	table	2
cup	water	0
cup	plate	2
cup	handle	0
cup	tray	2
cup	counter	2
cup	sink	2
cup	coffee	0
cup	saucer	0
cup	tea	0
cup	lid	0
cup	cup	0
cup	hand	0
cup	ground	3
cup	straw	0
hand	keyboard	0
hand	pocket	0
hand	woman	3
hand	camera	1
hand	mouse	0
hand	hand	0
hand	man	2
hand	remote	0
hand	hip	2
hand	clock	0
hand	paper	1
hand	head	2
hand	child	3
hand	table	2
hand	ring	0
hand	face	3
hand	umbrella	3
hand	bat	3
hand	player	2
hand	person	3
hand	boy	3
hand	laptop	3
hand	food	0
hand	girl	3
hand	plate	1
hand	handle	0
hand	controller	0
hand	scissors	1
hand	bottle	0
hand	skateboard	2
hand	knife	2
hand	fork	0
hand	pole	2
hand	surfboard	1
hand	mouth	0
hand	knee	0
hand	cat	1
hand	water	3
hand	glass	3
hand	frisbee	1
hand	racket	3
hand	sandwich	1
hand	board	2
hand	cellphone	0
hand	phone	0
hand	fingers	0
hand	thumb	0
hand	surfer	3
hand	pizza	2
hand	donut	0
hand	glove	0
hand	cup	0
hand	doughnut	3
hand	banana	3
hand	finger	0
hand	toothbrush	0
hand	wineglass	0
dish	table	2
dish	food	0
boy	glasses	0
boy	jacket	0
boy	water	0
boy	shirt	0
boy	hair	0
boy	grass	1
boy	nose	0
boy	table	2
boy	girl	1
boy	jeans	0
boy	pants	0
boy	vest	0
boy	socks	0
boy	hoodie	0
boy	sunglasses	0
boy	sweater	0
boy	sweatshirt	0
boy	bike	0
boy	sneakers	0
boy	shorts	0
boy	bench	0
boy	boy	0
boy	shoes	0
boy	skateboard	0
boy	wall	0
boy	cap	0
boy	surfboard	0
boy	beach	1
boy	sand	2
boy	eye	0
boy	baseball	0
boy	helmet	0
boy	ball	0
boy	shadow	0
boy	board	0
boy	snow	2
boy	watch	0
boy	racket	0
boy	kite	3
boy	man	1
boy	face	0
boy	floor	0
boy	bed	0
boy	fence	1
boy	chair	0
boy	jersey	0
boy	bat	0
boy	ramp	2
boy	hand	0
boy	pizza	0
boy	head	0
boy	leg	0
boy	field	2
boy	glove	0
boy	shoe	0
boy	hat	0
boy	arm	0
boy	coat	0
boy	cake	1
boy	court	2
boy	sock	0
boy	tie	0
boy	mouth	0
boy	frisbee	0
boy	boat	2
boy	eyes	0
boy	sidewalk	2
boy	backpack	0
boy	ear	0
boy	ground	2
boy	gloves	0
boy	uniform	0
boy	hands	0
boy	t-shirt	0
boy	horse	2
boy	foot	0
boy	teeth	0
boy	tshirt	0
boy	elephant	2
boy	swing	1
boy	skis	0
boy	phone	0
boy	top	0
boy	sheep	0
boy	remote	0
boy	sneaker	0
boy	finger	0
boy	umbrella	0
windows	buildings	0
windows	building	2
windows	bus	2
windows	house	0
windows	plane	3
windows	windows	0
windows	car	2
windows	door	2
windows	boat	2
windows	wall	0
windows	airplane	3
windows	train	2
windows	side	0
windows	cockpit	0
windows	tower	3
blinds	window	0
posters	wall	0
lights	ceiling	0
lights	lights	0
lights	pole	2
lights	car	0
lights	truck	2
lights	street	2
lights	wall	2
lights	window	0
lights	mirror	2
lights	bus	3
lights	building	2
lights	train	3
lights	road	2
lights	tree	0
baby	teeth	0
baby	hair	0
baby	toothbrush	0
baby	mouth	0
baby	shirt	0
baby	hand	0
baby	head	0
baby	eye	0
baby	nose	0
baby	bed	0
baby	coat	0
baby	apple	0
computer	desk	2
computer	keyboard	0
computer	table	2
computer	monitor	0
computer	screen	0
computer	man	3
tower	building	2
tower	tower	0
tower	clock	0
tower	window	0
tower	roof	0
tower	airport	2
tower	background	1
tower	sky	1
tower	stone	1
coat	hood	0
coat	man	0
coat	woman	0
coat	button	0
board	wall	0
board	man	3
board	water	3
board	board	0
board	ground	3
board	edge	0
jacket	chair	0
jacket	man	0
jacket	hood	0
jacket	woman	0
jacket	jacket	0
jacket	person	0
jacket	sleeve	0
jacket	stripes	0
jacket	skier	0
jacket	button	0
jacket	zipper	0
jacket	pocket	0
bookshelf	books	0
wires	desk	3
wires	laptop	3
wires	pole	2
wires	train	2
wires	sky	0
shelf	books	0
shelf	wall	2
shelf	book	0
shelf	refrigerator	2
shelf	toilet	2
shelf	sink	2
plate	table	0
plate	counter	0
plate	fork	0
plate	salad	0
plate	sandwich	0
plate	car	3
plate	food	0
plate	plate	0
plate	wall	2
plate	broccoli	0
plate	fruit	0
plate	rim	0
plate	placemat	0
plate	meat	0
plate	tray	0
plate	truck	3
plate	bus	3
plate	pizza	0
plate	cake	0
plate	edge	0
plate	field	3
plate	motorcycle	3
plate	design	0
plate	tablecloth	0
scissors	paper	2
scissors	handles	0
scissors	handle	0
scissors	scissors	0
scissors	table	0
photo	photo	0
photo	frame	0
photo	wall	2
photo	daytime	0
photo	copyright	0
photo	antelope	0
floor	tiles	0
floor	kitchen	3
floor	carpet	0
floor	tile	0
floor	room	3
floor	floor	0
floor	bathroom	3
floor	toilet	3
floor	part	0
magazine	table	2
phone	desk	2
phone	wall	1
phone	screen	0
phone	table	2
phone	hand	0
phone	button	0
phone	bed	2
frame	picture	0
frame	door	0
frame	wall	2
frame	window	0
frame	mirror	0
people	sidewalk	2
people	street	2
people	table	0
people	couch	0
people	road	2
people	building	3
people	stairs	0
people	tree	1
people	car	1
people	helmets	0
people	people	0
people	bus	1
people	hats	0
people	beach	2
people	water	2
