#subject	#object	#spatial 1->beside 2->under 3->over 4->inside upper-half 5->inside lower-half
girl	dog	1
girl	phone	4
girl	street	1
girl	skis	5
girl	t-shirt	4
girl	headband	4
girl	frisbee	1
girl	top	4
girl	court	1
girl	racket	1
girl	blouse	5
girl	bear	4
girl	gloves	4
girl	leg	5
girl	controller	4
girl	pizza	5
girl	kite	3
girl	snow	1
girl	scarf	4
girl	arm	4
girl	ground	1
girl	bracelet	5
girl	bed	5
girl	helmet	4
girl	bat	4
girl	head	4
girl	goggles	4
girl	banana	5
girl	couch	5
girl	racquet	1
girl	donut	5
girl	face	4
girl	skateboard	5
girl	earring	4
girl	field	1
girl	grass	1
girl	cellphone	4
girl	food	5
girl	sand	2
girl	teeth	4
girl	sidewalk	2
girl	cake	5
girl	board	2
girl	glove	5
outlet	wall	3
pen	desk	2
pen	table	2
pen	paper	1
pen	notebook	5
wall	tiles	5
wall	window	4
wall	building	1
wall	wall	4
wall	bricks	4
wall	man	5
wall	brick	4
wall	table	2
wall	bed	2
wall	road	2
wall	sidewalk	2
wall	room	2
wall	kitchen	1
wall	picture	4
wall	bathroom	5
wall	bench	5
wall	clock	4
wall	stone	4
wall	rock	4
wall	person	5
wall	woman	5
wall	background	4
wall	shadow	5
wall	toilet	5
wall	bear	5
wall	giraffe	5
wall	water	2
wall	mirror	4
wall	fence	3
wall	edge	4
wall	spot	4
wall	cat	2
wall	graffiti	4
wall	sign	4
wall	tile	4
wall	train	1
wall	part	4
bag	table	2
bag	counter	2
bag	floor	2
bag	strap	4
bag	handle	4
bag	shoulder	4
bag	hand	3
bag	woman	3
bag	bench	1
bag	bed	1
bag	ground	2
bag	man	3
bag	chair	5
bag	bag	4
bag	motorcycle	2
bag	bike	2
calendar	wall	1
woman	computer	1
woman	pants	5
woman	earring	4
woman	sweater	5
woman	chair	5
woman	photo	1
woman	hair	4
woman	watch	5
woman	shirt	4
woman	dress	5
woman	top	4
woman	ocean	1
woman	skirt	5
woman	shorts	5
woman	bag	5
woman	purse	4
woman	jacket	4
woman	sidewalk	2
woman	sunglasses	4
woman	wall	1
woman	woman	4
woman	table	2
woman	glasses	4
woman	blouse	5
woman	necklace	4
woman	water	1
woman	swimsuit	4
woman	nose	4
woman	jeans	5
woman	arm	4
woman	hand	4
woman	ear	4
woman	couch	5
woman	white	4
woman	bench	5
woman	stroller	1
woman	coat	4
woman	scarf	4
woman	sneaker	5
woman	smile	4
woman	head	4
woman	eye	4
woman	feet	5
woman	leg	5
woman	neck	4
woman	umbrella	4
woman	lipstick	4
woman	street	1
woman	hat	4
woman	road	2
woman	ponytail	4
woman	cellphone	4
woman	window	4
woman	car	1
woman	suit	5
woman	man	1
woman	mouth	4
woman	food	5
woman	ground	2
woman	cap	4
woman	shadow	2
woman	apron	5
woman	grass	1
woman	building	3
woman	dog	5
woman	handbag	4
woman	sandals	5
woman	child	1
woman	phone	4
woman	backpack	4
woman	shoes	5
woman	beach	1
woman	bike	5
woman	red	4
woman	pole	5
woman	tennis	1
woman	ball	1
woman	headband	4
woman	sign	1
woman	black	5
woman	boot	5
woman	book	5
woman	goggles	4
woman	picture	4
woman	baby	1
woman	blue	5
woman	bottle	4
woman	tank	4
woman	luggage	1
woman	outfit	5
woman	hands	4
woman	cup	4
woman	suitcase	5
woman	clothes	5
woman	vest	4
woman	sweatshirt	5
woman	bicycle	5
woman	floor	1
woman	counter	2
woman	tanktop	5
woman	girl	1
woman	cigarette	5
woman	eyes	4
woman	camera	4
woman	boots	5
woman	horse	5
woman	train	1
woman	donut	5
woman	bracelet	5
woman	shoe	5
woman	arms	4
woman	bikini	4
woman	laptop	1
woman	skis	5
woman	surfboard	5
woman	wetsuit	5
woman	helmet	4
woman	t-shirt	4
woman	remote	5
woman	ring	5
woman	eyeglasses	4
woman	leggings	5
woman	cake	1
woman	snowboard	5
woman	frisbee	1
woman	fence	1
woman	gloves	4
woman	elbow	5
woman	sock	5
woman	hoodie	4
woman	sofa	5
woman	knife	5
woman	legs	5
woman	motorcycle	5
woman	elephant	1
woman	bracelets	5
woman	teeth	4
woman	face	4
woman	cat	5
woman	shoulder	4
woman	cow	1
woman	clothing	5
woman	boat	2
woman	paper	5
woman	sand	2
woman	dryer	5
woman	park	5
woman	field	1
woman	kite	3
woman	socks	5
woman	earrings	4
woman	kitchen	1
woman	sheep	1
woman	plate	5
woman	towel	5
woman	visor	4
woman	truck	1
woman	bus	1
woman	sandal	5
woman	bed	5
woman	banana	5
woman	belt	5
woman	wine	5
woman	platform	2
woman	glove	4
woman	court	5
woman	racket	1
woman	controller	4
woman	pizza	2
woman	mirror	1
woman	board	5
woman	skateboard	2
woman	wave	1
woman	bat	4
woman	foot	5
woman	glass	5
woman	racquet	1
woman	background	1
woman	snow	2
woman	tie	5
woman	picnic	2
woman	bananas	5
woman	toothbrush	4
woman	eyebrow	4
woman	fork	5
woman	capris	5
woman	giraffe	1
woman	knee	5
woman	finger	5
woman	sneakers	5
woman	costume	4
woman	lips	4
woman	poles	5
woman	ski	2
woman	wrist	5
woman	wristband	5
woman	fingers	4
woman	fruits	5
woman	wii	4
woman	boy	1
woman	cardigan	5
woman	heels	5
woman	sandwich	4
woman	tattoo	4
woman	thumb	5
woman	meat	1
woman	burger	5
woman	soccer	1
picture	wall	2
picture	frame	5
picture	picture	4
picture	table	2
picture	bed	2
picture	shelf	2
picture	woman	5
picture	man	2
picture	outside	4
picture	car	5
telephone	desk	2
telephone	table	2
telephone	wall	3
drawer	handle	4
drawer	desk	3
drawer	counter	3
drawer	dresser	3
drawer	cabinet	2
drawer	kitchen	3
monitor	desk	2
monitor	screen	4
monitor	computer	5
monitor	table	2
monitor	laptop	5
monitor	people	4
curtains	window	4
chair	table	1
chair	desk	1
chair	wall	3
chair	leg	5
chair	wheels	5
chair	back	4
chair	chair	4
chair	room	3
chair	window	3
chair	legs	5
chair	wheel	5
chair	umbrella	3
chair	cushion	4
chair	sidewalk	2
chair	arm	5
chair	floor	2
chair	beach	2
chair	sand	2
chair	ground	2
chair	grass	2
chair	seat	5
chair	tv	1
chair	bed	1
chair	corner	3
chair	casino	3
chair	man	3
carpet	floor	4
carpet	ground	4
carpet	carpet	4
carpet	room	3
pillow	couch	2
pillow	sofa	2
pillow	bed	2
pillow	chair	2
pillow	dog	2
pillow	headboard	3
pillow	pillow	4
pillow	cat	2
pillow	floor	2
animal	water	2
animal	field	2
animal	grass	2
animal	ground	2
animal	picture	1
animal	horns	4
animal	animal	4
animal	spot	4
door	building	3
door	room	1
door	car	5
door	door	4
door	house	3
door	mirror	4
door	wall	1
door	glass	4
door	airplane	3
door	window	4
door	knob	5
door	oven	4
door	garage	4
door	cabinet	1
door	refrigerator	1
door	handle	5
door	truck	1
door	plane	3
door	train	1
door	microwave	4
door	bus	1
door	kitchen	1
door	fridge	1
door	man	1
door	hinge	4
door	bathroom	1
door	shower	1
lamp	couch	2
lamp	floor	2
lamp	shade	4
lamp	desk	2
lamp	stand	2
lamp	chair	2
lamp	wall	3
lamp	table	2
lamp	street	2
lamp	bed	2
lamp	building	2
lamp	pole	2
lamp	ceiling	1
lamp	room	1
lamp	nightstand	2
lamp	corner	4
lamp	post	2
lamp	lamp	4
lamp	window	1
lamp	mirror	1
books	books	4
books	shelves	5
books	shelf	2
books	bookshelf	2
books	table	2
books	desk	2
books	bookcase	2
printer	desk	2
railing	balcony	2
railing	stairs	5
railing	bridge	2
railing	building	3
railing	wall	2
railing	boat	2
railing	train	1
paper	table	2
paper	counter	2
paper	hand	4
paper	desk	2
paper	wall	2
paper	paper	4
paper	ground	2
paper	box	2
paper	board	1
paper	floor	2
paper	writing	4
paper	refrigerator	2
paper	pizza	5
paper	tray	2
paper	fridge	2
paper	sandwich	5
paper	donut	4
paper	toilet	2
shelves	wall	2
room	window	4
room	office	5
chairs	table	1
chairs	chairs	4
chairs	snow	1
clothes	bed	1
apple	bowl	2
apple	table	2
apple	orange	2
apple	basket	2
apple	stem	4
apple	plate	5
apple	tree	3
apple	apple	4
apple	box	3
apple	tray	3
apple	crate	2
glass	milk	5
glass	liquid	5
glass	counter	2
glass	table	2
glass	water	5
glass	glass	4
glass	wine	4
glass	building	2
glass	plate	2
glass	coaster	5
glass	desk	2
glass	shelf	2
glass	door	5
glass	window	2
glass	juice	5
glass	beer	5
glass	straw	4
glass	drink	5
glass	hand	5
glass	soda	5
glass	pizza	2
glass	tray	2
glass	stem	5
top	building	2
top	table	2
top	bottle	2
top	tree	2
top	hydrant	2
top	railing	2
top	train	2
top	top	4
top	tower	2
top	church	2
fork	plate	2
fork	napkin	5
fork	table	1
fork	dish	2
fork	handle	5
fork	bowl	2
fork	hand	2
fork	pizza	1
fork	food	2
fork	tines	4
fork	knife	4
fork	cake	3
fork	container	1
fork	tine	4
liquid	glass	4
liquid	bottle	3
liquid	cup	4
bowl	counter	2
bowl	table	2
bowl	sauce	4
bowl	bowl	4
bowl	soup	4
bowl	tray	2
bowl	food	4
bowl	fruit	4
bowl	plate	5
bowl	cereal	4
bowl	spoon	4
bowl	shelf	2
bowl	salad	4
bowl	toilet	3
bowl	orange	4
bowl	liquid	4
bowl	broccoli	4
pan	stove	2
pan	table	4
pan	wall	2
pan	handle	4
pan	pizza	4
food	tray	5
food	table	4
food	plate	5
food	pan	4
food	grill	2
food	bowl	5
food	dish	5
food	hand	2
food	stove	4
food	container	5
food	counter	5
food	food	4
food	oven	3
container	counter	2
container	shelf	2
container	lid	4
container	table	2
container	container	4
container	food	4
leg	chair	3
leg	person	3
leg	woman	3
leg	elephant	3
leg	bird	3
leg	giraffe	3
leg	man	3
leg	table	1
leg	horse	3
leg	bench	3
leg	player	3
leg	dog	3
leg	leg	4
leg	cow	3
leg	boy	3
leg	zebra	3
leg	cat	3
leg	bear	3
leg	sheep	3
leg	girl	3
leg	ground	1
leg	animal	3
crumb	plate	3
bottle	desk	2
bottle	cap	4
bottle	table	2
bottle	bottle	4
bottle	water	5
bottle	shelf	2
bottle	wine	5
bottle	lid	4
bottle	liquid	5
bottle	soap	5
bottle	label	5
bottle	counter	2
bottle	top	4
bottle	beer	5
bottle	refrigerator	2
bottle	hand	4
bottle	ground	2
bottle	ketchup	5
bottle	floor	2
bottle	sink	2
bottle	fridge	2
bottle	refridgerator	2
book	desk	2
book	shelf	2
book	bookshelf	2
book	table	2
book	bed	2
book	book	4
book	bookcase	3
book	floor	3
book	hand	5
book	hands	4
book	stack	2
lady	hair	4
lady	hat	4
lady	shirt	4
lady	head	4
lady	bench	5
lady	dress	5
lady	watch	4
lady	top	4
lady	jeans	5
lady	hand	5
lady	pants	5
lady	jacket	4
lady	coat	5
lady	ear	4
lady	bag	5
lady	purse	5
lady	table	2
lady	chair	5
lady	glasses	4
lady	lady	4
lady	sunglasses	4
lady	street	1
lady	sweater	4
lady	umbrella	4
lady	phone	4
lady	horse	2
lady	turquoise	5
headphones	desk	2
papers	desk	2
papers	table	2
papers	wall	2
bracelet	wrist	4
bracelet	arm	3
bracelet	hand	3
bracelet	woman	3
cereal	bowl	5
mug	desk	1
mug	table	2
mug	handle	5
mug	coffee	4
mug	counter	2
laptop	desk	2
laptop	screen	4
laptop	table	2
laptop	bed	4
laptop	laptop	4
laptop	lap	2
laptop	keyboard	5
laptop	couch	2
laptop	man	3
laptop	logo	4
cup	desk	2
cup	shelf	2
cup	table	2
cup	water	5
cup	plate	2
cup	handle	5
cup	tray	2
cup	counter	2
cup	sink	2
cup	coffee	4
cup	saucer	5
cup	tea	5
cup	lid	4
cup	cup	4
cup	hand	5
cup	ground	3
cup	straw	3
hand	keyboard	2
hand	pocket	2
hand	woman	3
hand	camera	1
hand	mouse	5
hand	hand	4
hand	man	2
hand	remote	4
hand	hip	2
hand	clock	5
hand	paper	1
hand	head	2
hand	child	3
hand	table	2
hand	ring	5
hand	face	3
hand	umbrella	3
hand	bat	3
hand	player	2
hand	person	3
hand	boy	3
hand	laptop	3
hand	food	1
hand	girl	3
hand	plate	1
hand	handle	5
hand	controller	4
hand	scissors	1
hand	bottle	5
hand	skateboard	2
hand	knife	2
hand	fork	1
hand	pole	2
hand	surfboard	1
hand	mouth	4
hand	knee	5
hand	cat	1
hand	water	3
hand	glass	3
hand	frisbee	1
hand	racket	3
hand	sandwich	1
hand	board	2
hand	cellphone	4
hand	phone	4
hand	fingers	4
hand	thumb	4
hand	surfer	3
hand	pizza	2
hand	donut	3
hand	glove	4
hand	cup	4
hand	doughnut	3
hand	banana	3
hand	finger	5
hand	toothbrush	4
hand	wineglass	5
dish	table	2
dish	food	4
boy	glasses	4
boy	jacket	4
boy	water	3
boy	shirt	4
boy	hair	4
boy	grass	1
boy	nose	4
boy	table	2
boy	girl	1
boy	jeans	5
boy	pants	5
boy	vest	5
boy	socks	5
boy	hoodie	4
boy	sunglasses	4
boy	sweater	4
boy	sweatshirt	4
boy	bike	5
boy	sneakers	5
boy	shorts	5
boy	bench	5
boy	boy	4
boy	shoes	5
boy	skateboard	5
boy	wall	1
boy	cap	4
boy	surfboard	4
boy	beach	1
boy	sand	2
boy	eye	4
boy	baseball	4
boy	helmet	4
boy	ball	1
boy	shadow	5
boy	board	2
boy	snow	2
boy	watch	5
boy	racket	1
boy	kite	3
boy	man	1
boy	face	4
boy	floor	1
boy	bed	2
boy	fence	1
boy	chair	5
boy	jersey	4
boy	bat	4
boy	ramp	2
boy	hand	5
boy	pizza	5
boy	head	4
boy	leg	5
boy	field	2
boy	glove	5
boy	shoe	5
boy	hat	4
boy	arm	4
boy	coat	4
boy	cake	1
boy	court	2
boy	sock	5
boy	tie	5
boy	mouth	4
boy	frisbee	4
boy	boat	2
boy	eyes	4
boy	sidewalk	2
boy	backpack	4
boy	ear	4
boy	ground	2
boy	gloves	5
boy	uniform	5
boy	hands	5
boy	t-shirt	4
boy	horse	2
boy	foot	5
boy	teeth	4
boy	tshirt	4
boy	elephant	2
boy	swing	1
boy	skis	5
boy	phone	4
boy	top	4
boy	sheep	2
boy	remote	4
boy	sneaker	5
boy	finger	1
boy	umbrella	4
windows	buildings	5
windows	building	2
windows	bus	2
windows	house	4
windows	plane	3
windows	windows	4
windows	car	2
windows	door	2
windows	boat	2
windows	wall	5
windows	airplane	3
windows	train	2
windows	side	5
windows	cockpit	5
windows	tower	3
blinds	window	5
posters	wall	5
lights	ceiling	4
lights	lights	4
lights	pole	2
lights	car	2
lights	truck	2
lights	street	2
lights	wall	2
lights	window	2
lights	mirror	2
lights	bus	3
lights	building	2
lights	train	3
lights	road	2
lights	tree	5
baby	teeth	5
baby	hair	4
baby	toothbrush	5
baby	mouth	5
baby	shirt	5
baby	hand	5
baby	head	4
baby	eye	4
baby	nose	4
baby	bed	5
baby	coat	4
baby	apple	4
computer	desk	2
computer	keyboard	5
computer	table	2
computer	monitor	4
computer	screen	4
computer	man	3
tower	building	2
tower	tower	4
tower	clock	4
tower	window	5
tower	roof	4
tower	airport	2
tower	background	1
tower	sky	1
tower	stone	1
coat	hood	4
coat	man	5
coat	woman	5
coat	button	5
board	wall	1
board	man	3
board	water	3
board	board	4
board	ground	3
board	edge	5
jacket	chair	5
jacket	man	5
jacket	hood	4
jacket	woman	5
jacket	jacket	4
jacket	person	5
jacket	sleeve	4
jacket	stripes	4
jacket	skier	5
jacket	button	5
jacket	zipper	5
jacket	pocket	5
bookshelf	books	4
wires	desk	3
wires	laptop	3
wires	pole	2
wires	train	2
wires	sky	4
shelf	books	3
shelf	wall	2
shelf	book	4
shelf	refrigerator	2
shelf	toilet	2
shelf	sink	2
plate	table	4
plate	counter	2
plate	fork	5
plate	salad	4
plate	sandwich	4
plate	car	3
plate	food	4
plate	plate	4
plate	wall	2
plate	broccoli	4
plate	fruit	4
plate	rim	5
plate	placemat	5
plate	meat	5
plate	tray	4
plate	truck	3
plate	bus	3
plate	pizza	4
plate	cake	4
plate	edge	4
plate	field	3
plate	motorcycle	3
plate	design	5
plate	tablecloth	4
scissors	paper	2
scissors	handles	4
scissors	handle	5
scissors	scissors	4
scissors	table	4
photo	photo	4
photo	frame	4
photo	wall	2
photo	daytime	4
photo	copyright	5
photo	antelope	5
floor	tiles	4
floor	kitchen	3
floor	carpet	5
floor	tile	5
floor	room	3
floor	floor	4
floor	bathroom	3
floor	toilet	3
floor	part	5
magazine	table	2
phone	desk	2
phone	wall	1
phone	screen	4
phone	table	2
phone	hand	5
phone	button	4
phone	bed	2
frame	picture	5
frame	door	5
frame	wall	2
frame	window	4
frame	mirror	4
people	sidewalk	2
people	street	2
people	table	5
people	couch	5
people	road	2
people	building	3
people	stairs	2
people	tree	1
people	car	1
people	helmets	4
people	people	4
